,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,2.501239,2024-05-08 18:11:10.575032,2024-05-08 18:17:24.465685,0 days 00:06:13.890653,tanh,0.0009970633045849324,0.98,0.999,3.032943847977002e-05,linear,0.5,16,small,False,True,False,0.22810648995581517,COMPLETE
1,1,-1.922826,2024-05-08 18:17:24.466074,2024-05-08 18:24:08.023519,0 days 00:06:43.557445,tanh,1.9639661504220585e-05,0.8,0.995,0.0001434571858703817,linear,0.3,2048,medium,True,False,True,0.1257132622330437,COMPLETE
2,2,2.5119329999999995,2024-05-08 18:24:08.023954,2024-05-08 18:29:51.537104,0 days 00:05:43.513150,tanh,2.1352546723876276e-05,0.99,0.9999,0.0008930567829434589,constant,0.9,64,medium,False,False,True,0.9276966011586313,COMPLETE
3,3,2.5119329999999995,2024-05-08 18:29:51.537499,2024-05-08 18:36:17.420960,0 days 00:06:25.883461,tanh,0.012657970838474883,0.99,0.9,0.0013356503338168948,linear,0.5,2048,small,False,False,True,0.16223521871910274,COMPLETE
4,4,-6.641663,2024-05-08 18:36:17.421397,2024-05-08 18:42:03.640022,0 days 00:05:46.218625,relu,0.0007774129437989976,0.9,0.98,1.746111996410818e-05,linear,0.7,32,medium,True,False,False,0.33296233690305566,COMPLETE
5,5,-1.9071940000000003,2024-05-08 18:42:03.640446,2024-05-08 18:42:15.169784,0 days 00:00:11.529338,relu,2.7470303725008687e-08,0.99,0.9999,0.06826830119518834,constant,0.9,64,medium,False,True,True,0.9644978869466173,PRUNED
6,6,2.5119329999999995,2024-05-08 18:42:15.169992,2024-05-08 18:48:25.154390,0 days 00:06:09.984398,tanh,1.2638308118536959e-06,0.92,0.9999,0.9694551144782816,constant,1.0,1024,medium,False,False,True,0.8788289948445339,COMPLETE
7,7,-1.9071940000000003,2024-05-08 18:48:25.154835,2024-05-08 18:48:28.831412,0 days 00:00:03.676577,tanh,1.6698992370501477e-06,1.0,0.99,0.004796504232518235,constant,5.0,8,medium,False,False,True,0.6617173991284533,PRUNED
8,8,-1.9071940000000003,2024-05-08 18:48:28.831598,2024-05-08 18:48:32.399664,0 days 00:00:03.568066,relu,2.0170695488563956e-08,0.95,0.95,0.0024232036268634597,constant,2.0,512,small,True,True,False,0.6398544929095998,PRUNED
9,9,-1.904282,2024-05-08 18:48:32.399852,2024-05-08 18:48:36.008812,0 days 00:00:03.608960,tanh,0.06935587447450985,0.99,0.9999,0.00030073778613616797,constant,0.6,128,medium,False,False,True,0.7401839423539902,PRUNED
10,10,0.0,2024-05-08 18:48:36.008995,2024-05-08 18:48:47.475694,0 days 00:00:11.466699,relu,5.476315694276296e-05,0.98,0.995,0.021034328972355704,constant,0.8,64,small,True,True,False,0.46884231544520727,PRUNED
11,11,-1.9071940000000003,2024-05-08 18:48:47.475899,2024-05-08 18:50:14.069253,0 days 00:01:26.593354,tanh,0.06841985136907557,0.99,0.9,0.0007835181965594014,linear,0.9,256,small,False,False,True,0.37253080271808103,PRUNED
12,12,-0.02716,2024-05-08 18:50:14.069450,2024-05-08 18:50:25.026887,0 days 00:00:10.957437,tanh,0.0027570042715495003,0.99,0.9,0.008115409787075228,linear,0.5,2048,small,False,False,True,0.011518357619785757,PRUNED
13,13,-1.9301130000000002,2024-05-08 18:50:25.027070,2024-05-08 18:50:28.619394,0 days 00:00:03.592324,tanh,3.628617703191423e-05,0.99,0.9,0.0008724056042699756,linear,0.9,64,small,False,False,True,0.5171770190007957,PRUNED
14,14,0.12294499999999998,2024-05-08 18:50:28.619578,2024-05-08 18:50:39.791142,0 days 00:00:11.171564,tanh,0.0076398290355817865,0.8,0.98,0.00014359232704100423,constant,0.5,2048,medium,False,False,True,0.1910016795358136,PRUNED
15,15,0.0,2024-05-08 18:50:39.791333,2024-05-08 18:50:54.929254,0 days 00:00:15.137921,tanh,1.3892447606986753e-06,0.92,0.99,0.10256439966596323,linear,0.6,128,small,False,False,True,0.806934006359294,PRUNED
16,16,-1.9071940000000003,2024-05-08 18:50:54.929440,2024-05-08 18:52:25.342787,0 days 00:01:30.413347,tanh,0.00025557288080026267,0.9,0.999,0.001030947306538234,linear,5.0,1024,medium,False,False,True,0.007948907409359163,PRUNED
17,17,-1.9071940000000003,2024-05-08 18:52:25.343048,2024-05-08 18:52:29.509848,0 days 00:00:04.166800,tanh,6.335115854214352e-06,1.0,0.95,0.018254559472687875,constant,1.0,8,small,False,False,True,0.997051722420568,PRUNED
18,18,-1.9071940000000003,2024-05-08 18:52:29.510042,2024-05-08 18:52:33.171272,0 days 00:00:03.661230,relu,1.6964997786060023e-07,0.95,0.9999,6.38712967406586e-05,linear,2.0,16,small,True,True,False,0.5493476980968279,PRUNED
19,19,2.5119329999999995,2024-05-08 18:52:33.171455,2024-05-08 18:58:38.258758,0 days 00:06:05.087303,tanh,0.013535810036534457,0.99,0.9,0.00031557494211946144,constant,0.8,512,medium,False,False,True,0.37431706041457036,COMPLETE
20,20,0.0,2024-05-08 18:58:38.259172,2024-05-08 18:58:50.091763,0 days 00:00:11.832591,tanh,0.00010613658998408481,0.99,0.9,0.0020365644443647193,linear,0.7,32,medium,False,False,True,0.27959399290009446,PRUNED
21,21,2.5119329999999995,2024-05-08 18:58:50.091946,2024-05-08 19:04:54.976444,0 days 00:06:04.884498,tanh,4.983504708793185e-07,0.92,0.9999,0.416756988503785,constant,1.0,1024,medium,False,False,True,0.8705116952728048,COMPLETE
22,22,-1.9071940000000003,2024-05-08 19:04:54.976868,2024-05-08 19:11:24.722914,0 days 00:06:29.746046,tanh,5.2489786105503226e-06,0.92,0.9999,0.8515169086669812,constant,1.0,1024,medium,False,False,True,0.8217428022480205,COMPLETE
23,23,-1.8139450000000001,2024-05-08 19:11:24.723333,2024-05-08 19:11:28.864705,0 days 00:00:04.141372,tanh,8.270474351896377e-06,0.92,0.9999,0.010731473245745216,constant,0.3,256,medium,False,False,True,0.9331115134192249,PRUNED
24,24,-3.707673,2024-05-08 19:11:28.864891,2024-05-08 19:11:32.611834,0 days 00:00:03.746943,tanh,1.22263826306648e-07,0.92,0.9999,0.0470623885129842,constant,1.0,1024,medium,False,False,True,0.7267279203869274,PRUNED
25,25,0.0,2024-05-08 19:11:32.612020,2024-05-08 19:11:36.375437,0 days 00:00:03.763417,tanh,1.2283082035927922e-06,0.99,0.9999,0.28927219271875604,constant,0.5,2048,medium,False,False,True,0.8927573937914229,PRUNED
26,26,1.211042,2024-05-08 19:11:36.375621,2024-05-08 19:11:39.921775,0 days 00:00:03.546154,relu,0.0002148556669003932,0.9,0.98,0.004020562927172057,constant,0.9,64,small,True,True,False,0.6002100641860104,PRUNED
