,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,0.034142,2024-05-08 15:42:55.264324,2024-05-08 15:49:49.000831,0 days 00:06:53.736507,relu,256,0.2,0.003878990160804976,0.8,0.95,3.552420303679261e-05,0.5,5,1024,medium,0.7821354035852242,COMPLETE
1,1,0.0,2024-05-08 15:49:49.001588,2024-05-08 15:57:22.973099,0 days 00:07:33.971511,tanh,128,0.2,0.012186345289863312,0.98,0.9,2.0409136468748307e-05,0.6,5,64,medium,0.3112560949386658,COMPLETE
2,2,2.551374,2024-05-08 15:57:22.973859,2024-05-08 16:05:15.187359,0 days 00:07:52.213500,relu,8,0.3,6.674409990826704e-07,0.95,0.999,0.0016069705447393067,0.8,10,1024,tiny,0.8640380074610406,COMPLETE
3,3,0.132645,2024-05-08 16:05:15.188243,2024-05-08 16:11:59.543486,0 days 00:06:44.355243,tanh,256,0.2,1.532378631418918e-06,1.0,0.995,1.6749634940605435e-05,5.0,1,32,tiny,0.11399952315007456,COMPLETE
4,4,2.511933,2024-05-08 16:11:59.544174,2024-05-08 16:18:43.483672,0 days 00:06:43.939498,tanh,512,0.1,0.0006433610682424936,0.92,0.9,0.5863748490710765,2.0,20,2048,medium,0.39555899673981043,COMPLETE
5,5,-1.907194,2024-05-08 16:18:43.484422,2024-05-08 16:26:47.894977,0 days 00:08:04.410555,relu,8,0.3,1.815692576382481e-08,0.95,0.999,0.0047946610020564205,0.8,10,256,tiny,0.9999488558819847,PRUNED
6,6,0.0,2024-05-08 16:26:47.895369,2024-05-08 16:26:48.637165,0 days 00:00:00.741796,relu,8,0.3,2.6619721652517075e-06,0.95,0.999,0.002813042992233494,0.9,10,1024,small,0.7037321534337753,PRUNED
7,7,2.511933,2024-05-08 16:26:48.637381,2024-05-08 16:33:19.089359,0 days 00:06:30.451978,relu,32,0.4,1.3722611369566611e-08,0.9,0.98,0.0034782145469297076,1.0,10,128,tiny,0.9748434808641953,COMPLETE
8,8,-2.774214,2024-05-08 16:33:19.090032,2024-05-08 16:33:19.743265,0 days 00:00:00.653233,relu,64,0.3,2.982819063176644e-05,0.99,0.99,0.11125102224822954,0.8,20,512,small,0.6236129329693231,PRUNED
9,9,2.511933,2024-05-08 16:33:19.743488,2024-05-08 16:39:57.570173,0 days 00:06:37.826685,relu,16,0.1,6.611693696604499e-07,0.95,0.9999,0.0003426766139205459,0.3,1,8,tiny,0.8297315609023641,COMPLETE
10,10,2.511933,2024-05-08 16:39:57.570862,2024-05-08 16:47:54.277338,0 days 00:07:56.706476,tanh,8,0.4,7.810371547521939e-05,0.98,0.999,0.04373842010543687,0.7,10,16,tiny,0.538344563393378,COMPLETE
11,11,-1.90262,2024-05-08 16:47:54.278183,2024-05-08 16:47:55.023802,0 days 00:00:00.745619,tanh,512,0.1,0.000890659121446937,0.92,0.9,0.5322953055110146,2.0,20,2048,medium,0.3490771484306434,PRUNED
12,12,2.461742,2024-05-08 16:47:55.023985,2024-05-08 16:54:37.772877,0 days 00:06:42.748892,tanh,512,0.1,9.479924421823251e-05,0.92,0.9,0.0002855984626934678,2.0,20,2048,medium,0.3819935569278332,COMPLETE
13,13,-0.700941,2024-05-08 16:54:37.773619,2024-05-08 16:54:38.466227,0 days 00:00:00.692608,tanh,512,0.3,3.1467059050916455e-07,0.92,0.95,0.040771282880554024,2.0,20,1024,medium,0.0690848552238118,PRUNED
14,14,-3.145082,2024-05-08 16:54:38.466409,2024-05-08 16:54:39.114911,0 days 00:00:00.648502,relu,128,0.1,1.4254996646943281e-05,0.99,0.99,0.5142018975485121,0.8,10,2048,small,0.20342715372041192,PRUNED
15,15,-1.917232,2024-05-08 16:54:39.115087,2024-05-08 16:54:40.106195,0 days 00:00:00.991108,tanh,32,0.1,0.0006524666059878398,1.0,0.9999,0.0005865737824376036,0.5,20,8,tiny,0.49426912580208054,PRUNED
16,16,-1.907194,2024-05-08 16:54:40.106372,2024-05-08 16:54:40.791001,0 days 00:00:00.684629,relu,16,0.3,0.060226246395329044,0.8,0.98,0.01134718047347411,5.0,1,256,medium,0.4644323997721902,PRUNED
17,17,-6.238243,2024-05-08 16:54:40.791184,2024-05-08 16:54:41.463763,0 days 00:00:00.672579,tanh,64,0.4,8.806526036249167e-08,0.9,0.995,0.00010786803275769221,0.3,5,128,medium,0.8724487841583577,PRUNED
18,18,-1.907194,2024-05-08 16:54:41.463944,2024-05-08 16:54:42.128399,0 days 00:00:00.664455,tanh,512,0.3,8.206587658683653e-06,0.95,0.9,0.0014352057103778966,1.0,10,512,tiny,0.6372018303605256,PRUNED
19,19,2.511933,2024-05-08 16:54:42.128596,2024-05-08 17:04:53.967247,0 days 00:10:11.838651,relu,8,0.1,0.00032407201008913163,0.92,0.999,0.016477558615878844,0.9,20,16,small,0.2356932103827855,COMPLETE
20,20,0.0,2024-05-08 17:04:53.968167,2024-05-08 17:04:55.019864,0 days 00:00:01.051697,relu,8,0.1,1.3089233254717406e-07,0.92,0.999,0.15168161512016112,0.7,20,64,medium,0.5899760949145264,PRUNED
21,21,2.511933,2024-05-08 17:04:55.020052,2024-05-08 17:11:11.633563,0 days 00:06:16.613511,relu,32,0.4,1.332005842940235e-08,0.9,0.98,0.0017148391840064233,1.0,10,128,tiny,0.987035361128163,COMPLETE
22,22,-1.92001,2024-05-08 17:11:11.634224,2024-05-08 17:11:12.316342,0 days 00:00:00.682118,relu,32,0.4,8.98253363409641e-08,0.9,0.98,0.006770291233143682,1.0,10,128,tiny,0.9131230699635882,PRUNED
23,23,-1.907194,2024-05-08 17:11:12.316534,2024-05-08 17:11:12.994494,0 days 00:00:00.677960,relu,32,0.4,4.179870222386332e-08,0.9,0.98,9.230181983110815e-05,0.6,10,32,tiny,0.7399466450297607,PRUNED
24,24,0.205966,2024-05-08 17:11:12.994667,2024-05-08 17:11:13.637402,0 days 00:00:00.642735,relu,512,0.4,2.199221915593813e-06,0.9,0.98,0.0007293233691853141,1.0,10,128,tiny,0.9085493895252377,PRUNED
25,25,-1.907194,2024-05-08 17:11:13.637579,2024-05-08 17:11:14.267827,0 days 00:00:00.630248,relu,32,0.4,3.912778142749968e-07,0.95,0.9,0.8359771764693169,2.0,10,2048,tiny,0.4025840685177554,PRUNED
26,26,-1.907194,2024-05-08 17:11:14.268003,2024-05-08 17:11:14.905960,0 days 00:00:00.637957,tanh,128,0.3,1.2353619490434826e-08,0.98,0.995,0.029041262163448666,0.8,5,1024,tiny,0.8006716693872049,PRUNED
27,27,2.511933,2024-05-08 17:11:14.906134,2024-05-08 17:17:21.446707,0 days 00:06:06.540573,relu,16,0.2,0.00015262369072996723,1.0,0.99,0.15399124679667087,2.0,1,1024,tiny,0.7113707096205434,COMPLETE
28,28,-1.697766,2024-05-08 17:17:21.447552,2024-05-08 17:24:13.583294,0 days 00:06:52.135742,tanh,64,0.1,0.004420491733076433,0.8,0.95,0.00011219754291221666,1.0,10,128,small,0.9311676734120813,COMPLETE
29,29,0.0,2024-05-08 17:24:13.583996,2024-05-08 17:24:14.277795,0 days 00:00:00.693799,relu,256,0.2,0.002569917996700618,0.99,0.9999,0.0024369254510275833,0.5,5,2048,medium,0.816311802014418,PRUNED
30,30,2.511933,2024-05-08 17:24:14.277982,2024-05-08 17:30:45.019786,0 days 00:06:30.741804,relu,256,0.3,1.1359253613797529e-05,0.8,0.95,5.139367058677269e-05,0.8,20,1024,medium,0.2670634619726845,COMPLETE
31,31,0.0,2024-05-08 17:30:45.020598,2024-05-08 17:30:45.726588,0 days 00:00:00.705990,relu,16,0.1,4.8770880142768e-07,0.95,0.9999,0.0003105839876343766,0.3,1,8,tiny,0.834762146868171,PRUNED
32,32,-1.907194,2024-05-08 17:30:45.726786,2024-05-08 17:30:46.405642,0 days 00:00:00.678856,relu,16,0.1,1.0543540854461376e-06,0.95,0.9999,0.00038196064724640614,0.3,1,8,tiny,0.759890741382644,PRUNED
33,33,-1.910932,2024-05-08 17:30:46.405817,2024-05-08 17:30:47.090792,0 days 00:00:00.684975,relu,16,0.1,3.954265843561861e-06,0.95,0.9999,0.0009741531268325806,0.3,1,8,tiny,0.9300293502577622,PRUNED
34,34,-1.906985,2024-05-08 17:30:47.090976,2024-05-08 17:30:47.753395,0 days 00:00:00.662419,relu,8,0.2,4.84965892640991e-08,0.95,0.9,0.0049462061514714654,0.6,1,64,tiny,0.8593579788077581,PRUNED
35,35,-1.908077,2024-05-08 17:30:47.753584,2024-05-08 17:30:48.427054,0 days 00:00:00.673470,relu,512,0.1,8.822773531564885e-07,0.95,0.999,2.8581122992891435e-05,5.0,1,32,tiny,0.9806726107658813,PRUNED
36,36,-1.921255,2024-05-08 17:30:48.427238,2024-05-08 17:38:15.701027,0 days 00:07:27.273789,tanh,16,0.4,0.01574287054433824,0.9,0.9999,0.00025242462603212323,0.3,10,256,tiny,0.6689262362401613,COMPLETE
37,37,0.851963,2024-05-08 17:38:15.701953,2024-05-08 17:38:16.512172,0 days 00:00:00.810219,relu,8,0.3,4.6044226342451e-05,0.98,0.999,0.00930446464079618,0.9,5,8,medium,0.45526944439007955,PRUNED
38,38,-2.817792,2024-05-08 17:38:16.512353,2024-05-08 17:44:32.497593,0 days 00:06:15.985240,tanh,128,0.2,1.7918190388449485e-07,0.92,0.98,0.003915712136823943,0.8,10,512,small,0.570949209367962,COMPLETE
